epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5528,1.78299,3.09746,3.76107,1.55439,0,0.00947,0.37061,0.08972,0.03488,0.00865,0.27273,0.08302,0.02242,1.82041,2.61452,4.10019,1.52849,0,0.00022864,0.00022864,0.00022864
2,111.106,1.78884,2.65501,3.37543,1.39718,0,0.00894,0.36724,0.15119,0.06975,0.01015,0.4115,0.07415,0.01378,1.77745,2.49797,4.06127,1.50433,0,0.000466901,0.000466901,0.000466901
3,164.923,1.87059,2.42808,2.93941,1.49349,0,0.00888,0.39779,0.15215,0.05651,0.00986,0.38119,0.10761,0.02693,2.04709,2.58388,3.99413,1.65821,0,0.000700353,0.000700353,0.000700353
4,218.496,1.89584,2.64522,2.67358,1.48205,0,0.77444,0.07407,0.10408,0.03364,0.75019,0.05556,0.0329,0.00597,2.13546,3.56202,3.87459,1.77577,0,0.000928994,0.000928994,0.000928994
5,271.276,1.82462,2.47344,2.46672,1.45931,0,0.8404,0.10123,0.13515,0.04782,0.78129,0.06833,0.06152,0.01938,2.16875,3.13141,3.80839,1.70407,0,0.00115283,0.00115283,0.00115283
6,323.982,1.91919,2.4378,2.5253,1.52108,0,0.60228,0.14478,0.09409,0.04115,0.76508,0.07407,0.08884,0.02371,1.97409,2.94311,3.49535,1.68147,0,0.00135826,0.00135826,0.00135826
7,377.003,1.79258,2.42943,2.38781,1.43947,0,0.72078,0.21886,0.28552,0.11884,0.92549,0.05556,0.1571,0.03775,1.98184,3.72223,3.13368,1.64422,0,0.00134412,0.00134412,0.00134412
8,431.511,1.77605,2.49781,2.32715,1.41891,0,0.27177,0.31837,0.30811,0.13481,0.4959,0.27802,0.21778,0.07642,2.00694,2.81208,2.86674,1.65002,0,0.00132997,0.00132997,0.00132997
9,485.067,1.72761,2.38969,2.13823,1.39107,0,0.25042,0.43122,0.28762,0.13623,0.22489,0.42785,0.23797,0.06236,1.94226,2.7234,2.75702,1.63563,0,0.00131582,0.00131582,0.00131582
10,537.298,1.69943,2.30301,2.14219,1.41049,0,0.33121,0.40193,0.32865,0.15083,0.3402,0.29846,0.2361,0.07909,2.19485,3.14761,2.50806,1.69228,0,0.00130168,0.00130168,0.00130168
